PartyAb,PartyNm,Australian Labor Party Transfer Votes,Australian Labor Party Transfer Percentage,Liberal/National Coalition Transfer Votes,Liberal/National Coalition Transfer Percentage
LP,Liberal,2152,9.21,21211,90.79
NP,The Nationals,16505,24.55,50727,75.45
GRN,The Greens,927394,83.03,189524,16.97
KAP,Katter's Australian Party,61743,46.00,72483,54.00
PUP,Palmer United Party,328503,46.33,380532,53.67
FFP,Family First,75757,41.67,106063,58.33
RUA,Rise Up Australia Party,19320,39.77,29262,60.23
CDP,Christian Democratic Party,25232,28.49,63344,71.51
ASXP,Australian Sex Party,49211,62.63,29360,37.37
DLP,DLP - Democratic Labour Party,20386,56.49,15700,43.51
AUC,Australian Christians,12729,29.95,29769,70.05
CEC,Citizens Electoral Council,5264,50.62,5136,49.38
ON,One Nation,9899,44.90,12147,55.10
BTA,Bullet Train For Australia,11260,56.87,8541,43.13
AFN,Australia First Party (NSW) Incorporated,2985,40.27,4427,59.73
SPP,Stable Population Party,2035,51.47,1919,48.53
SPA,Secular Party of Australia,3394,70.21,1440,29.79
CYA,Country Alliance,1737,36.89,2971,63.11
SAL,Socialist Alliance,4076,81.00,956,19.00
AIN,Australian Independents,2279,54.74,1884,45.26
VCE,Australian Voice Party,839,49.91,842,50.09
APP,Australian Protectionist Party,289,26.78,790,73.22
DEM,Democrats,1905,52.71,1709,47.29
NCP,Non-Custodial Parents Party,917,59.28,630,40.72
AJP,Animal Justice Party,1284,68.37,594,31.63
FNPP,A.F.N.P.P,1081,59.72,729,40.28
FUT,Future Party,775,66.01,399,33.99
LDP,Liberal Democrats (LDP),964,20.44,3752,79.56
SOL,Senator Online,83,39.71,126,60.29
SPRT,Australian Sports Party,619,46.75,705,53.25
UNP,Uniting Australia Party,174,45.08,212,54.92
VEP,Voluntary Euthanasia Party,349,58.46,248,41.54
IND,Independent,101185,57.10,76032,42.90
NAFD,Non Affiliated,2527,52.10,2323,47.90
,First Preferences,4311365,42.67,5792223,57.33
