PartyAb,PartyNm,Liberal/National Coalition Transfer Votes,Liberal/National Coalition Transfer Percentage,Australian Labor Party Transfer Votes,Australian Labor Party Transfer Percentage
LP,Liberal,15808,89.49,1857,10.51
NP,The Nationals,54322,81.65,12207,18.35
GRN,The Greens,263830,17.79,1219093,82.21
KAP,Katter's Australian Party (KAP),46754,67.04,22982,32.96
XEN,Centre Alliance,15438,32.90,31493,67.10
UAPP,United Australia Party,318413,65.14,170404,34.86
ON,Pauline Hanson's One Nation,286049,65.22,152538,34.78
FACN,FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,55437,71.81,21766,28.19
AJP,Animal Justice Party,44824,38.42,71851,61.58
CDP,Christian Democratic Party,72575,74.43,24938,25.57
SPP,Sustainable Australia,16389,46.01,19229,53.99
WAP,WESTERN AUSTRALIA PARTY,12390,48.98,12908,51.02
RUA,Rise Up Australia Party,8481,60.44,5551,39.56
AUC,Australian Christians,19229,80.79,4573,19.21
LDP,Liberal Democrats (LDP),26776,77.24,7890,22.76
DLP,DLP - Democratic Labour Party,7271,39.76,11016,60.24
DHJP,Derryn Hinch's Justice Party,12393,46.24,14410,53.76
ASP,"Shooters, Fishers and Farmers",24498,59.06,16981,40.94
FUT,Science Party,4105,32.54,8512,67.46
AUP,Australian Progressives,2543,32.77,5216,67.23
GAP,The Great Australian Party,2842,53.07,2513,46.93
AFN,Australia First Party (NSW) Incorporated,3830,56.44,2956,43.56
SEP,Socialist Equality Party,1058,36.92,1808,63.08
REAS,Reason Australia,2776,31.21,6119,68.79
SAL,Socialist Alliance,495,20.23,1952,79.77
VNS,Victorian Socialists,1546,12.41,10907,87.59
CEC,Citizens Electoral Council,863,26.42,2404,73.58
ABFA,Australian Better Families,1328,64.09,744,35.91
AUD,Australian Democrats,631,30.95,1408,69.05
AWP,Australian Workers Party,984,58.71,692,41.29
CPP,Child Protection Party,553,45.37,666,54.63
IMO,Involuntary Medication Objectors (Vaccination/Fluoride) Party,429,36.39,750,63.61
LAOL,Love Australia or Leave,852,54.48,712,45.52
NCP,Non-Custodial Parents Party,622,51.28,591,48.72
FLUX,VOTEFLUX.ORG | Upgrade Democracy!,278,46.18,324,53.82
IND,Independent,194826,40.60,285010,59.40
NAFD,Non Affiliated,694,32.38,1449,67.62
,First Preferences,5822681,55.06,4752160,44.94
