# House of Representatives seat counts by election.
# Coalition = Liberal + National + LNP + CLP (combined).
# Other = Greens, independents, and minor parties.
# Source: Wikipedia, List of Australian federal elections.
Year,ALP,Coalition,Other
1946,43,26,5
1949,47,74,0
1951,52,69,0
1954,57,64,0
1955,47,75,0
1958,45,77,0
1961,60,62,0
1963,50,72,0
1966,41,82,1
1969,59,66,0
1972,67,58,0
1974,66,61,0
1975,36,91,0
1977,38,86,0
1980,51,74,0
1983,75,50,0
1984,82,66,0
1987,86,62,0
1990,78,69,1
1993,80,65,2
1996,49,94,5
1998,67,80,1
2001,65,82,3
2004,60,87,3
2007,83,65,2
2010,72,72,6
2013,55,90,5
2016,69,76,5
2019,68,77,6
2022,77,58,16
2025,94,43,13
